id,name,bio,url,PI,status
joint-lab,Joint Lab, makes collaborative explorations across sciences with models and data,https://joint-lab.github.io/,lhd jgy,Core team
comp-ethics-lab,Computational Ethics lab, works to gain a deeper understanding of the ethical impacts of emerging technology on socio-technological systems.,https://www.compethicslab.org/,juni,Core team
comp-story-lab,Computational Story Lab," works on large-scale, system-level problems in many fields including sociology, nonlinear dynamics, networks, ecology, and physics.","https://compstorylab.org/",peter chris,Core team
neurobotics-lab,UVM Neurobotics Lab, take inspiration from natural systems in biology psychology and neuroscience to help us design autonomous robots and decision making systems.,https://www.uvm.edu/neurobotics/,nick-cheney,Core team
mce-lab,Morphology Evolution & Cognition Laboratory, creates generally intelligent machines.,https://www.meclab.org/,josh,Core team
comp-topology-lab,Computational Topology Lab, does computational topology.,https://site.uvm.edu/sal/#,alice,Core team
compfi,Computational Finance Lab, study modern financial markets from a systems perspective using the tools of statistical physics systems engineering and data science.,https://compfi.org/index.php,brian,Core team
core,Control and Optimization of Renewable Energy, imrpove our fundamental understanding of power and energy systems.,https://madsalma.github.io/,mads,Core team
bagrow-lab,Bagrow Lab, to understand and predict the behavior of complex social and technological systems from team collaborations and activity on social media to power grids the stock market and more.,https://bagrow.com/,james-bagrow,Core team
glass-lab,UVM Glass Brain Lab, engineers new ways to study the brain in real life.,https://www.uvm.edu/~brainlab/,david-jangraw,UVM affiliate
grid-verification-lab,Grid Verification Lab, focuses on problems at the intersection power grid optimization and machine learning verification.,https://samchevalier.github.io/Group.html,david-jangraw,UVM affiliate
lauterbur-lab,Lauterbur EvoEco Lab," tackles questions at the intersection of evolution and ecology, combining techniques and theories to discover a broader picture of how organisms live and evolve in the context of natural ecosystems.".,elise-lauterbur,UVM affiliate
science-and-humanity-lab,Science and Humanity Lab," applies mathematics and data science to model the human side of science.",https://scienceandhumanitylab.github.io,sam-zhang,Core team
